	1.	2.	3.	4.	5.	6.
1.	went	sent	bent	dent	tent	rent
2.	hold	cold	told	fold	sold	gold
3.	pat	pad	pan	path	pack	pass
4.	lane	lay	late	lake	lace	lame
5.	kit	bit	fit	hit	wit	sit
6.	must	bust	gust	rust	dust	just
7.	teak	team	teal	teach	tear	tease
8.	din	dill	dim	dig	dip	did
9.	bed	led	fed	red	wed	shed
10.	pin	sin	tin	fin	din	win
11.	dug	dung	duck	dud	dub	dun
12.	sum	sun	sung	sup	sub	sud
13.	seep	seen	seethe	seek	seem	seed
14.	not	tot	got	pot	hot	lot
15.	vest	test	rest	best	west	nest
16.	pig	pill	pin	pip	pit	pick
17.	back	bath	bad	bass	bat	ban
18.	way	may	say	pay	day	gay
19.	pig	big	dig	wig	rig	fig
20.	pale	pace	page	pane	pay	pave
21.	cane	case	cape	cake	came	cave
22.	shop	mop	cop	top	hop	pop
23.	coil	oil	soil	toil	boil	foil
24.	tan	tang	tap	tack	tam	tab
25.	fit	fib	fizz	fill	fig	fin
26.	same	name	game	tame	came	fame
27.	peel	reel	feel	eel	keel	heel
28.	hark	dark	mark	bark	park	lark
29.	heave	hear	heat	heal	heap	heath
30.	cup	cut	cud	cuff	cuss	cub
31.	thaw	law	raw	paw	jaw	saw
32.	pen	hen	men	then	den	ten
33.	puff	puck	pub	pus	pup	pun
34.	bean	beach	beat	beak	bead	beam
35.	heat	neat	feat	seat	meat	beat
36.	dip	sip	hip	tip	lip	rip
37.	kill	kin	kit	kick	king	kid
38.	hang	sang	bang	rang	fang	gang
39.	took	cook	look	hook	shook	book
40.	mass	math	map	mat	man	mad
41.	ray	raze	rate	rave	rake	race
42.	save	same	sale	sane	sake	safe
43.	fill	kill	will	hill	till	bill
44.	sill	sick	sip	sing	sit	sin
45.	bale	gale	sale	tale	pale	male
46.	wick	sick	kick	lick	pick	tick
47.	peace	peas	peak	peach	peat	peal
48.	bun	bus	but	bug	buck	buff
49.	sag	sat	sass	sack	sad	sap
50.	fun	sun	bun	gun	run	nun
